Week,avocado: (United States),organic: (United States),avocado recipe: (United States),avocado toast: (United States),avocado sandwich: (United States),organic avocado: (United States)
1/4/2015,46,76,84,8,51,10
1/11/2015,48,79,76,8,38,29
1/18/2015,48,82,84,9,66,27
1/25/2015,49,82,89,8,44,28
2/1/2015,52,81,82,7,46,42
2/8/2015,41,80,67,8,60,40
2/15/2015,40,80,61,7,48,17
2/22/2015,41,82,55,8,50,23
3/1/2015,44,83,72,9,38,26
3/8/2015,41,80,66,7,47,31
3/15/2015,43,81,69,7,46,34
3/22/2015,45,83,68,10,60,40
3/29/2015,45,81,62,9,55,38
4/5/2015,46,81,66,8,37,35
4/12/2015,47,84,72,10,56,19
4/19/2015,47,88,74,11,57,15
4/26/2015,45,84,64,10,45,15
5/3/2015,50,84,80,11,65,15
5/10/2015,45,84,71,9,57,23
5/17/2015,47,81,74,10,64,36
5/24/2015,47,80,77,10,68,29
5/31/2015,46,80,65,8,71,31
6/7/2015,46,78,82,9,64,21
6/14/2015,46,73,73,9,50,26
6/21/2015,47,75,67,10,42,19
6/28/2015,49,71,83,11,58,52
7/5/2015,48,73,80,11,34,32
7/12/2015,48,73,87,9,49,16
7/19/2015,46,74,79,9,44,32
7/26/2015,45,72,78,9,48,21
8/2/2015,44,72,64,8,49,21
8/9/2015,45,71,75,10,41,21
8/16/2015,47,71,63,9,49,31
8/23/2015,46,79,64,7,35,28
8/30/2015,44,84,63,7,45,25
9/6/2015,40,83,66,9,45,20
9/13/2015,36,88,52,8,38,34
9/20/2015,35,83,46,9,38,12
9/27/2015,36,83,47,9,32,29
10/4/2015,37,85,44,12,38,26
10/11/2015,35,82,50,8,40,32
10/18/2015,35,82,50,10,30,24
10/25/2015,36,81,46,8,34,21
11/1/2015,36,79,49,9,45,28
11/8/2015,34,78,44,9,31,12
11/15/2015,29,75,53,9,43,30
11/22/2015,32,66,69,7,29,26
11/29/2015,31,75,43,8,19,24
12/6/2015,31,77,46,8,36,21
12/13/2015,32,75,38,8,32,19
12/20/2015,38,56,50,9,34,14
12/27/2015,44,68,73,14,35,30
1/3/2016,53,84,84,17,53,30
1/10/2016,55,82,82,21,60,27
1/17/2016,57,87,86,18,65,37
1/24/2016,55,90,70,17,41,39
1/31/2016,57,90,95,17,63,34
2/7/2016,56,89,92,15,44,40
2/14/2016,51,90,76,16,45,21
2/21/2016,54,93,79,19,52,50
2/28/2016,54,90,74,19,44,28
3/6/2016,53,91,78,19,60,31
3/13/2016,60,88,79,18,47,25
3/20/2016,56,89,76,18,50,28
3/27/2016,55,90,69,18,52,43
4/3/2016,59,94,74,19,61,29
4/10/2016,59,93,80,22,57,45
4/17/2016,60,95,73,22,54,27
4/24/2016,60,93,73,22,65,25
5/1/2016,68,96,98,25,57,44
5/8/2016,62,91,82,24,76,31
5/15/2016,61,91,88,20,57,28
5/22/2016,59,88,91,21,53,26
5/29/2016,57,83,78,20,60,31
6/5/2016,56,82,73,22,61,26
6/12/2016,54,78,55,25,69,30
6/19/2016,51,76,80,23,59,31
6/26/2016,57,76,85,25,39,35
7/3/2016,55,73,76,25,51,49
7/10/2016,52,75,69,20,41,23
7/17/2016,54,73,58,26,52,34
7/24/2016,50,73,51,21,23,25
7/31/2016,47,73,62,25,64,46
8/7/2016,45,71,51,21,63,17
8/14/2016,45,72,59,23,35,44
8/21/2016,47,78,52,24,47,27
8/28/2016,45,83,47,20,43,22
9/4/2016,46,86,63,19,37,22
9/11/2016,41,89,52,19,42,38
9/18/2016,40,89,57,19,40,27
9/25/2016,38,89,50,17,52,19
10/2/2016,36,86,35,14,42,21
10/9/2016,36,83,42,14,47,20
10/16/2016,36,83,42,16,47,29
10/23/2016,38,82,36,14,36,23
10/30/2016,33,80,37,15,21,21
11/6/2016,33,71,37,16,41,27
11/13/2016,32,83,45,14,15,25
11/20/2016,30,72,36,13,35,18
11/27/2016,31,82,34,15,32,16
12/4/2016,34,83,33,15,44,21
12/11/2016,34,78,33,15,35,25
12/18/2016,35,68,50,16,43,27
12/25/2016,41,66,47,19,30,22
1/1/2017,55,80,79,31,60,38
1/8/2017,57,86,71,33,51,29
1/15/2017,56,89,67,31,56,27
1/22/2017,58,91,68,31,61,32
1/29/2017,60,91,82,27,51,23
2/5/2017,60,91,88,32,62,47
2/12/2017,49,87,63,27,46,26
2/19/2017,52,93,68,25,49,37
2/26/2017,51,94,64,28,43,35
3/5/2017,51,93,64,29,48,30
3/12/2017,52,89,63,29,63,45
3/19/2017,53,91,68,30,53,51
3/26/2017,52,95,59,27,58,39
4/2/2017,52,100,62,30,39,53
4/9/2017,54,96,71,29,47,36
4/16/2017,51,96,64,27,55,52
4/23/2017,57,97,67,32,53,40
4/30/2017,57,96,65,29,61,44
5/7/2017,61,93,75,34,72,45
5/14/2017,62,85,67,100,51,32
5/21/2017,57,84,61,72,50,29
5/28/2017,58,85,79,58,46,53
6/4/2017,56,86,72,49,51,30
6/11/2017,58,81,69,47,37,25
6/18/2017,60,81,72,48,62,39
6/25/2017,57,82,74,54,48,46
7/2/2017,59,80,83,46,52,35
7/9/2017,60,84,74,50,51,39
7/16/2017,60,87,84,49,60,47
7/23/2017,57,81,70,49,53,31
7/30/2017,60,83,72,47,58,47
8/6/2017,56,79,73,45,59,33
8/13/2017,55,77,58,47,43,36
8/20/2017,51,76,55,45,47,40
8/27/2017,47,86,73,40,48,29
9/3/2017,46,83,59,37,57,27
9/10/2017,43,87,55,39,50,37
9/17/2017,45,89,47,32,48,35
9/24/2017,40,89,48,32,34,34
10/1/2017,40,87,52,30,26,35
10/8/2017,39,85,39,29,42,40
10/15/2017,41,87,48,31,45,27
10/22/2017,43,87,53,33,39,32
10/29/2017,40,84,52,38,40,51
11/5/2017,42,83,52,36,47,34
11/12/2017,41,87,54,33,44,35
11/19/2017,36,73,54,33,29,41
11/26/2017,37,80,48,30,33,44
12/3/2017,44,80,48,33,38,32
12/10/2017,42,83,53,37,44,37
12/17/2017,43,70,62,31,36,41
12/24/2017,47,66,61,34,36,38
12/31/2017,60,78,87,58,44,42
1/7/2018,62,84,86,57,59,43
1/14/2018,62,87,65,60,57,53
1/21/2018,63,91,84,63,70,39
1/28/2018,68,92,78,58,72,54
2/4/2018,68,90,83,54,59,45
2/11/2018,58,86,72,52,40,38
2/18/2018,59,86,69,57,59,56
2/25/2018,62,88,68,56,70,37
3/4/2018,64,85,68,51,66,52
3/11/2018,58,85,71,52,56,44
3/18/2018,61,86,68,53,48,29
3/25/2018,64,84,78,61,52,48
4/1/2018,63,83,67,58,61,49
4/8/2018,68,88,76,57,77,33
4/15/2018,68,91,83,60,69,39
4/22/2018,68,94,70,52,100,45
4/29/2018,71,89,82,55,75,35
5/6/2018,73,89,83,63,67,43
5/13/2018,65,83,83,49,81,33
5/20/2018,65,83,84,48,66,61
5/27/2018,65,84,91,55,72,53
6/3/2018,66,83,92,49,69,50
6/10/2018,69,81,84,56,67,48
6/17/2018,68,77,86,54,50,46
6/24/2018,66,79,81,52,58,42
7/1/2018,72,75,100,57,55,71
7/8/2018,73,77,97,62,61,48
7/15/2018,71,78,92,61,63,46
7/22/2018,69,79,88,56,64,76
7/29/2018,78,78,93,65,59,58
8/5/2018,65,76,85,51,66,47
8/12/2018,65,81,81,49,58,60
8/19/2018,62,79,79,49,50,57
8/26/2018,60,81,68,43,36,41
9/2/2018,59,84,63,42,54,34
9/9/2018,52,83,57,37,41,32
9/16/2018,51,88,56,38,32,64
9/23/2018,50,86,56,43,45,30
9/30/2018,51,83,55,38,51,47
10/7/2018,47,81,48,37,48,37
10/14/2018,47,82,51,42,42,50
10/21/2018,47,83,53,43,47,51
10/28/2018,46,76,56,35,35,33
11/4/2018,45,78,47,38,47,20
11/11/2018,45,80,49,38,39,45
11/18/2018,41,70,47,29,28,35
11/25/2018,41,80,43,31,45,37
12/2/2018,43,79,46,38,36,53
12/9/2018,43,81,50,35,44,34
12/16/2018,43,73,60,37,34,12
12/23/2018,50,63,55,42,27,56
12/30/2018,63,74,81,64,54,43
1/6/2019,73,85,88,68,61,67
1/13/2019,73,86,94,66,65,49
1/20/2019,68,86,95,79,60,49
1/27/2019,73,88,97,69,54,39
2/3/2019,71,87,90,58,53,41
2/10/2019,61,82,73,53,47,43
2/17/2019,64,86,64,60,58,47
2/24/2019,62,85,62,76,53,46
3/3/2019,64,85,72,62,55,62
3/10/2019,62,86,63,58,57,34
3/17/2019,62,84,65,55,58,56
3/24/2019,100,87,65,57,64,100
3/31/2019,75,89,67,61,48,39
4/7/2019,65,87,68,59,47,41
4/14/2019,62,87,71,58,49,28
4/21/2019,59,86,61,50,48,48
4/28/2019,59,88,58,50,44,46
5/5/2019,62,86,69,49,45,61
5/12/2019,61,82,72,59,59,51
5/19/2019,60,80,67,50,68,37
5/26/2019,65,81,70,55,67,47
6/2/2019,61,83,62,58,74,38
6/9/2019,62,82,66,57,60,55
6/16/2019,59,80,70,51,56,41
6/23/2019,57,79,71,53,45,56
6/30/2019,61,73,80,52,62,35
7/7/2019,58,76,66,55,51,42
7/14/2019,60,76,68,53,50,43
7/21/2019,60,74,68,56,54,49
7/28/2019,66,74,79,55,46,36
